asset_id,runtime_path,runtime_sha256,base_object,base_source_member,base_alias_count,manifest_source,manifest_license_status,manifest_source_status,runtime_key,declared_consumer,declared_consumer_resolution,consumer_binding_kind,consumer_evidence,promotion_id,promotion_validation_evidence,runtime_alias_group,runtime_alias_decision,crosswalk_decision,decision_note
ui.art19.button.selected_tab,Godot/GraytailGodot/assets/ui/art19/buttons/button_nav_talent_selected.png,E051CF0398847504F69B14E18C65430F81CD9FA50DF712352E85BA169D25BBA0,sources/base/美术素材/blobs/e0/e051cf0398847504f69b14e18c65430f81cd9fa50df712352e85ba169d25bba0.png,sources/draw/20_processed/ui_deploy_button/ui_button_nav_talent_selected.png,8,sources/draw/30_game_ready/ui_deploy_button/ui_button_nav_talent_selected.png,internal_staged,staged_pending_review,art19.button.selected_tab,scripts/presentation/art10_ui_skin_kit.gd; scripts/ui/long_term/long_term_shell.gd,scripts/presentation/art10_ui_skin_kit.gd=>Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd[production];scripts/ui/long_term/long_term_shell.gd=>Godot/GraytailGodot/scripts/ui/long_term/long_term_shell.gd[production],direct_token,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:588[asset_id=ui.art19.button.selected_tab],,,,,visual_reviewed_restricted_baked_text,Baked player-facing text cannot inherit the pixel-font theme or localization; retain as lineage/reference and do not use for live-label production UI.
ui.art19.map64.chest,Godot/GraytailGodot/assets/ui/art19/map64/chest_icon_64.png,57D63A7C4CB7CAB747DC7C18F99AFC8EBD5D2C885712EAD7774553ECEB16EAF5,sources/base/美术素材/blobs/57/57d63a7c4cb7cab747dc7c18f99afc8ebd5d2c885712ead7774553eceb16eaf5.png,sources/draw/30_game_ready/icons/64/07_baoxiang_icon.png,1,sources/draw/30_game_ready/icons/64/07_baoxiang_icon.png,internal_staged,staged_pending_review,art19.map64.chest,scripts/ui/map_overlay/map_overlay_panel.gd,scripts/ui/map_overlay/map_overlay_panel.gd=>Godot/GraytailGodot/scripts/ui/map_overlay/map_overlay_panel.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:113[asset_id=ui.art19.map64.chest],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.map64.exit,Godot/GraytailGodot/assets/ui/art19/map64/exit_icon_64.png,19D5A2AEA1E8354E702B2A1741DA815389372414DDEFF99313FACA230310F7F9,sources/base/美术素材/blobs/19/19d5a2aea1e8354e702b2a1741da815389372414ddeff99313faca230310f7f9.png,sources/draw/30_game_ready/icons/64/09_chukou_icon.png,1,sources/draw/30_game_ready/icons/64/09_chukou_icon.png,internal_staged,staged_pending_review,art19.map64.exit,scripts/ui/map_overlay/map_overlay_panel.gd,scripts/ui/map_overlay/map_overlay_panel.gd=>Godot/GraytailGodot/scripts/ui/map_overlay/map_overlay_panel.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:114[asset_id=ui.art19.map64.exit],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.map64.explored,Godot/GraytailGodot/assets/ui/art19/map64/explored_cell_64.png,3869461FBEF3CDEB66F16FA874610306C0E9E0C836E523022B33E526A743DD6B,sources/base/美术素材/blobs/38/3869461fbef3cdeb66f16fa874610306c0e9e0c836e523022b33e526a743dd6b.png,sources/draw/30_game_ready/icons/64/02_yitan_ge.png,1,sources/draw/30_game_ready/icons/64/02_yitan_ge.png,internal_staged,staged_pending_review,art19.map64.explored,scripts/ui/map_overlay/map_overlay_panel.gd,scripts/ui/map_overlay/map_overlay_panel.gd=>Godot/GraytailGodot/scripts/ui/map_overlay/map_overlay_panel.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:108[asset_id=ui.art19.map64.explored],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.map64.mine,Godot/GraytailGodot/assets/ui/art19/map64/mine_icon_64.png,F76605DFA2FA2B691DE2255FD9849C47C7198C4172A974C42A7DD6BD9A638A8F,sources/base/美术素材/blobs/f7/f76605dfa2fa2b691de2255fd9849c47c7198c4172a974c42a7dd6bd9a638a8f.png,sources/draw/30_game_ready/icons/64/05_dici_xianjing_icon.png,1,sources/draw/30_game_ready/icons/64/05_dici_xianjing_icon.png,internal_staged,staged_pending_review,art19.map64.mine,scripts/ui/map_overlay/map_overlay_panel.gd,scripts/ui/map_overlay/map_overlay_panel.gd=>Godot/GraytailGodot/scripts/ui/map_overlay/map_overlay_panel.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:112[asset_id=ui.art19.map64.mine],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.map64.player,Godot/GraytailGodot/assets/ui/art19/map64/player_marker_64.png,8C9E5FEF07B3727023AB6B382DA488AF2E5B8F43C565B22D5CE425C70575F836,sources/base/美术素材/blobs/8c/8c9e5fef07b3727023ab6b382da488af2e5b8f43c565b22d5ce425c70575f836.png,sources/draw/30_game_ready/icons/64/00_wanjia_dingwei.png,1,sources/draw/30_game_ready/icons/64/00_wanjia_dingwei.png,internal_staged,staged_pending_review,art19.map64.player,scripts/ui/map_overlay/map_overlay_panel.gd,scripts/ui/map_overlay/map_overlay_panel.gd=>Godot/GraytailGodot/scripts/ui/map_overlay/map_overlay_panel.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:105[asset_id=ui.art19.map64.player],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.map64.scanned,Godot/GraytailGodot/assets/ui/art19/map64/scanned_cell_64.png,53ED5AFB260BA5ED3603F27C7D697CB71D44C79B68FF105BBEBED70D9752CB32,sources/base/美术素材/blobs/53/53ed5afb260ba5ed3603f27c7d697cb71d44c79b68ff105bbebed70d9752cb32.png,sources/draw/30_game_ready/icons/64/03_saomiao_ge.png,1,sources/draw/30_game_ready/icons/64/03_saomiao_ge.png,internal_staged,staged_pending_review,art19.map64.scanned,scripts/ui/map_overlay/map_overlay_panel.gd,scripts/ui/map_overlay/map_overlay_panel.gd=>Godot/GraytailGodot/scripts/ui/map_overlay/map_overlay_panel.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:110[asset_id=ui.art19.map64.scanned],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.map64.unknown,Godot/GraytailGodot/assets/ui/art19/map64/unknown_cell_64.png,80CD787F8E0E0B306712A7B58C83100481C710B380D5EC38D2BB14517661566A,sources/base/美术素材/blobs/80/80cd787f8e0e0b306712a7b58c83100481c710b380d5ec38d2bb14517661566a.png,sources/draw/30_game_ready/icons/64/01_weizhi_ge.png,1,sources/draw/30_game_ready/icons/64/01_weizhi_ge.png,internal_staged,staged_pending_review,art19.map64.unknown,scripts/ui/map_overlay/map_overlay_panel.gd,scripts/ui/map_overlay/map_overlay_panel.gd=>Godot/GraytailGodot/scripts/ui/map_overlay/map_overlay_panel.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:106[asset_id=ui.art19.map64.unknown],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.panel.deploy_main,Godot/GraytailGodot/assets/ui/art19/panels/deploy_main_blank.png,222F475C981FA20063686E3BA1C203A46E04B9B2DBE6C6CDD1C4B5827E9EF525,sources/base/美术素材/blobs/22/222f475c981fa20063686e3ba1c203a46e04b9b2dbe6c6cdd1c4b5827e9ef525.png,sources/draw/20_processed/ui_deploy_panel/ui_panel_deploy_main_blank.png,6,sources/draw/30_game_ready/ui_deploy_panel/ui_panel_deploy_main_blank.png,internal_staged,staged_pending_review,art19.panel.deploy_main,scripts/ui/deploy_prep/deploy_prep_shell.gd; scripts/ui/long_term/long_term_shell.gd,scripts/ui/deploy_prep/deploy_prep_shell.gd=>Godot/GraytailGodot/scripts/ui/deploy_prep/deploy_prep_shell.gd[production];scripts/ui/long_term/long_term_shell.gd=>Godot/GraytailGodot/scripts/ui/long_term/long_term_shell.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:94[asset_id=ui.art19.panel.deploy_main],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.panel.deploy_summary,Godot/GraytailGodot/assets/ui/art19/panels/deploy_summary_blank.png,6893538A28D34001C2FFBF52DE811139936CAD2F24954A0588238A67DAEDFE75,sources/base/美术素材/blobs/68/6893538a28d34001c2ffbf52de811139936cad2f24954a0588238a67daedfe75.png,sources/draw/20_processed/ui_deploy_panel/ui_panel_deploy_summary_blank.png,9,sources/draw/30_game_ready/ui_deploy_panel/ui_panel_deploy_summary_blank.png,internal_staged,staged_pending_review,art19.panel.summary,scripts/presentation/art10_ui_skin_kit.gd; scripts/ui/long_term/long_term_shell.gd,scripts/presentation/art10_ui_skin_kit.gd=>Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd[production];scripts/ui/long_term/long_term_shell.gd=>Godot/GraytailGodot/scripts/ui/long_term/long_term_shell.gd[production],direct_token,Godot/GraytailGodot/scripts/ui/run_surface/run_surface.gd:177[asset_id=ui.art19.panel.deploy_summary],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.panel.frame_highlight,Godot/GraytailGodot/assets/ui/art19/panels/frame_highlight.png,6A7B4D2BBC7A87236B11F52BEAA8568477428D86A288D987949EC11F1B5DD95D,sources/base/美术素材/blobs/6a/6a7b4d2bbc7a87236b11f52beaa8568477428d86a288d987949ec11f1b5dd95d.png,sources/draw/20_processed/ui_deploy_panel/ui_frame_highlight.png,6,sources/draw/30_game_ready/ui_deploy_panel/ui_frame_highlight.png,internal_staged,staged_pending_review,art19.panel.highlight,scripts/presentation/art10_ui_skin_kit.gd; scripts/ui/long_term/long_term_shell.gd,scripts/presentation/art10_ui_skin_kit.gd=>Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd[production];scripts/ui/long_term/long_term_shell.gd=>Godot/GraytailGodot/scripts/ui/long_term/long_term_shell.gd[production],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:96[asset_id=ui.art19.panel.frame_highlight],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art19.panel.terminal_main,Godot/GraytailGodot/assets/ui/art19/panels/terminal_main.png,4BB57AC94C797BE82FD9B03B1EB708D87E3FE6CD014AF898A059486DCA6EACBC,sources/base/美术素材/blobs/4b/4bb57ac94c797be82fd9b03b1eb708d87e3fe6cd014af898a059486dca6eacbc.png,sources/draw/20_processed/ui_panel/ui_panel_terminal_main.png,8,sources/draw/30_game_ready/ui_panel/ui_panel_terminal_main.png,internal_staged,staged_pending_review,art19.panel.terminal,scripts/presentation/art10_ui_skin_kit.gd,scripts/presentation/art10_ui_skin_kit.gd=>Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd[production],direct_token,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:545[asset_id=ui.art19.panel.terminal_main],,,,,visual_reviewed_existing_runtime,Contact-sheet review confirms semantic and visual fit for the declared existing consumer; this is not a new Base promotion.
ui.art20.deploy.icon.consumable.medkit,Godot/GraytailGodot/assets/ui/art20/deploy/icons/deploy_equipment_slot_item_consumable_medkit.png,299DBA040724779167760A179AD82B307A6801D67064BFFF1B29044572F6A098,sources/base/美术素材/blobs/29/299dba040724779167760a179ad82b307a6801d67064bfff1b29044572f6a098.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_item_consumable_medkit.png,1,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_item_consumable_medkit.png,internal_staged,art20_imported_pending_visual_validation,art20.deploy.icon.medkit,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:125[asset_id=ui.art20.deploy.icon.consumable.medkit],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
ui.art20.deploy.icon.consumable.syringe,Godot/GraytailGodot/assets/ui/art20/deploy/icons/deploy_equipment_slot_item_consumable_syringe.png,02EE662BC4F0D4E6B3FDE8C42372449C20F9410CCC54B515209876BAA823E356,sources/base/美术素材/blobs/02/02ee662bc4f0d4e6b3fde8c42372449c20f9410ccc54b515209876baa823e356.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_item_consumable_syringe.png,1,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_item_consumable_syringe.png,internal_staged,art20_imported_pending_visual_validation,art20.deploy.icon.syringe,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:126[asset_id=ui.art20.deploy.icon.consumable.syringe],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
ui.art20.deploy.icon.equipment.flashlight,Godot/GraytailGodot/assets/ui/art20/deploy/icons/deploy_equipment_slot_item_equipment_flashlight.png,54F22EC3F62C8AA997EAF7FD7FC293FC31C72119D48CB253342DC979CD20FFB7,sources/base/美术素材/blobs/54/54f22ec3f62c8aa997eaf7fd7fc293fc31c72119d48cb253342dc979cd20ffb7.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_item_equipment_flashlight.png,1,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_item_equipment_flashlight.png,internal_staged,art20_imported_pending_visual_validation,art20.deploy.icon.flashlight,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:127[asset_id=ui.art20.deploy.icon.equipment.flashlight],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
ui.art20.deploy.icon.equipment.goggles,Godot/GraytailGodot/assets/ui/art20/deploy/icons/deploy_equipment_slot_item_equipment_goggles.png,BFA0E7155CB95526F3BFC41E3CED30A35F442B26AA765770626848EE9B9BBEAC,sources/base/美术素材/blobs/bf/bfa0e7155cb95526f3bfc41e3ced30a35f442b26aa765770626848ee9b9bbeac.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_item_equipment_goggles.png,1,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_item_equipment_goggles.png,internal_staged,art20_imported_pending_visual_validation,art20.deploy.icon.goggles,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:128[asset_id=ui.art20.deploy.icon.equipment.goggles],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
ui.art20.deploy.icon.armor,Godot/GraytailGodot/assets/ui/art20/deploy/icons/deploy_equipment_slot_ui_icon_armor.png,46AB54EE9D6EB956109F08922F4D49ACAEC4F47EF264EBD8C13E2BFDFF68B6C0,sources/base/美术素材/blobs/46/46ab54ee9d6eb956109f08922f4d49acaec4f47ef264ebd8c13e2bfdff68b6c0.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_ui_icon_armor.png,1,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_ui_icon_armor.png,internal_staged,art20_imported_pending_visual_validation,art20.deploy.icon.armor,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:129[asset_id=ui.art20.deploy.icon.armor],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
ui.art20.deploy.icon.backpack,Godot/GraytailGodot/assets/ui/art20/deploy/icons/deploy_equipment_slot_ui_icon_backpack.png,3A8096B7239B7BA9E2470977603D66D850A08B3565DF463B5A492071A681DB60,sources/base/美术素材/blobs/3a/3a8096b7239b7ba9e2470977603d66d850a08b3565df463b5a492071a681db60.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_ui_icon_backpack.png,1,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_ui_icon_backpack.png,internal_staged,art20_imported_pending_visual_validation,art20.deploy.icon.backpack,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:130[asset_id=ui.art20.deploy.icon.backpack],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
ui.art20.deploy.icon.bandage,Godot/GraytailGodot/assets/ui/art20/deploy/icons/deploy_equipment_slot_ui_icon_bandage.png,379A5FF323D78C2766993C24FC262BADCF10D008E4EB995821367BF7BE921D02,sources/base/美术素材/blobs/37/379a5ff323d78c2766993c24fc262badcf10d008e4eb995821367bf7be921d02.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_ui_icon_bandage.png,1,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_ui_icon_bandage.png,internal_staged,art20_imported_pending_visual_validation,art20.deploy.icon.bandage,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:131[asset_id=ui.art20.deploy.icon.bandage],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
ui.art20.deploy.icon.compass,Godot/GraytailGodot/assets/ui/art20/deploy/icons/deploy_equipment_slot_ui_icon_compass.png,9F2B1F9882C1D3E4C76DEAC5FBFF5A4158831DB6D6FCCF9F9AC1899FC31B700B,sources/base/美术素材/blobs/9f/9f2b1f9882c1d3e4c76deac5fbff5a4158831db6d6fccf9f9ac1899fc31b700b.png,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_ui_icon_compass.png,1,sources/art/ART-20/03_cut_output/deploy_prep/deploy_equipment_slot/deploy_equipment_slot_ui_icon_compass.png,internal_staged,art20_imported_pending_visual_validation,art20.deploy.icon.compass,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:132[asset_id=ui.art20.deploy.icon.compass],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
ui.art20.main_menu.background.base_hall,Godot/GraytailGodot/assets/ui/art20/main_menu/backgrounds/ui_main_menu_background_base_hall.png,467F4977B198F418D5FF2701F62147BB6AF09EA99AC3F15B7FED1638A8A04BA8,sources/base/美术素材/blobs/46/467f4977b198f418d5ff2701f62147bb6af09ea99ac3f15b7fed1638a8a04ba8.png,sources/art/ART-20/03_cut_output/main_menu/main_menu_background_base/ui_main_menu_background_base_hall.png,1,sources/art/ART-20/03_cut_output/main_menu/main_menu_background_base/ui_main_menu_background_base_hall.png,internal_staged,art20_imported_pending_visual_validation,art20.main_menu.background.base_hall,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:118[asset_id=ui.art20.main_menu.background.base_hall],,,,,visual_reviewed_staging_reference,"Contact-sheet review found no corrupt crop, but there is no direct production consumer proof; visual inspection alone does not admit it to runtime."
ui.art20.keycap.e.normal,Godot/GraytailGodot/assets/ui/art20/shared/keycaps/ui_shared_keycap_e_normal.png,EA61B99A9DFA5005C60F3C9E560DA160008287A06D711CC3B9B1159BFE4A0EF8,sources/base/美术素材/blobs/ea/ea61b99a9dfa5005c60f3c9e560da160008287a06d711cc3b9b1159bfe4a0ef8.png,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_e_normal.png,1,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_e_normal.png,internal_staged,art20_imported_pending_visual_validation,art20.shared.keycap.e.normal,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:119[asset_id=ui.art20.keycap.e.normal],,,,,visual_reviewed_restricted_input_glyph,"Baked keyboard or directional glyph is not input-semantic; retain only as reference or keyboard fallback, never as the sole production prompt."
ui.art20.keycap.esc.normal,Godot/GraytailGodot/assets/ui/art20/shared/keycaps/ui_shared_keycap_esc_normal.png,EA00A6485DC0CE6D4810B9AE82E337FF1830F9E41CA83C51482D54B542864B6E,sources/base/美术素材/blobs/ea/ea00a6485dc0ce6d4810b9ae82e337ff1830f9e41ca83c51482d54b542864b6e.png,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_esc_normal.png,1,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_esc_normal.png,internal_staged,art20_imported_pending_visual_validation,art20.shared.keycap.esc.normal,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:120[asset_id=ui.art20.keycap.esc.normal],,,,,visual_reviewed_restricted_input_glyph,"Baked keyboard or directional glyph is not input-semantic; retain only as reference or keyboard fallback, never as the sole production prompt."
ui.art20.keycap.f.normal,Godot/GraytailGodot/assets/ui/art20/shared/keycaps/ui_shared_keycap_f_normal.png,80ADE6B6EC07BF9DAED6AD7E44DB57383EE5D8755449376F3F6BA7DE3B3D13FA,sources/base/美术素材/blobs/80/80ade6b6ec07bf9daed6ad7e44db57383ee5d8755449376f3f6ba7de3b3d13fa.png,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_f_normal.png,1,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_f_normal.png,internal_staged,art20_imported_pending_visual_validation,art20.shared.keycap.f.normal,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:121[asset_id=ui.art20.keycap.f.normal],,,,,visual_reviewed_restricted_input_glyph,"Baked keyboard or directional glyph is not input-semantic; retain only as reference or keyboard fallback, never as the sole production prompt."
ui.art20.keycap.m.normal,Godot/GraytailGodot/assets/ui/art20/shared/keycaps/ui_shared_keycap_m_normal.png,19CD308A72911C7B2295E60E35489405A798ADB8AE38F1D89E9D5E676FAAEB94,sources/base/美术素材/blobs/19/19cd308a72911c7b2295e60e35489405a798adb8ae38f1d89e9d5e676faaeb94.png,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_m_normal.png,1,sources/art/ART-20/03_cut_output/shared/ui_keycap_prompt_set/ui_shared_keycap_m_normal.png,internal_staged,art20_imported_pending_visual_validation,art20.shared.keycap.m.normal,scripts/presentation/art09_manifest_asset_mapping.gd,scripts/presentation/art09_manifest_asset_mapping.gd=>Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd[contract],dynamic_contract,Godot/GraytailGodot/scripts/presentation/art10_ui_skin_kit.gd:626->Godot/GraytailGodot/scripts/presentation/art09_manifest_asset_mapping.gd:122[asset_id=ui.art20.keycap.m.normal],,,,,visual_reviewed_restricted_input_glyph,"Baked keyboard or directional glyph is not input-semantic; retain only as reference or keyboard fallback, never as the sole production prompt."
